distance_from_center,frame_0_right,frame_0_left,frame_1_right,frame_1_left,frame_2_right,frame_2_left,frame_3_right,frame_3_left,frame_4_right,frame_4_left,frame_5_right,frame_5_left,frame_6_right,frame_6_left,frame_7_right,frame_7_left,frame_8_right,frame_8_left,frame_9_right,frame_9_left,frame_10_right,frame_10_left,frame_11_right,frame_11_left,frame_12_right,frame_12_left,frame_13_right,frame_13_left,frame_14_right,frame_14_left,overall_mean
0.025,0.07085987261146498,0.2682926829268293,0.32211538461538464,0.01528916463549745,0.001659521504632831,0.2631578947368421,0.12630480167014613,0.015182186234817811,0.18804708723211594,1.0,0.02346041055718475,0.015693112467306012,1.0,0.9598911070780399,0.1403118040089087,0.012783265543288784,0.001373356876594075,0.08108108108108106,1.0,0.09375,0.12751677852348994,0.0050561797752808986,0.3605820105820106,1.0,1.0,0.056289881494986316,0.6166276346604214,1.0,0.661764705882353,0.033225886436895606,0.34867719370451905
0.07500000000000001,0.18829617834394902,0.5447154471544716,0.375,0.04431641923332594,0.0009680542110358181,0.15789473684210525,0.2912317327766179,0.04068825910931174,0.08738303652278903,0.21012269938650308,0.10222036028487642,0.018308631211857017,0.13148969475606573,1.0,0.0757238307349666,0.00029052876234747233,0.0003923876790268785,0.29729729729729726,0.9537953795379537,0.051041666666666666,0.03355704697986577,0.003932584269662921,0.5619047619047619,0.9342969776609723,0.19620253164556964,0.24840474020054695,0.6543325526932083,0.9129925868123293,0.09558823529411764,0.08777584924373916,0.2766721402405314
0.125,0.469546178343949,0.04065040650406504,0.423076923076923,0.09173498781298471,0.0024892822569492464,0.24561403508771928,0.15448851774530273,0.05161943319838056,0.0054331421672200435,0.009969325153374233,0.28529534981147886,0.017000871839581516,0.024523871641012263,0.6499092558983666,0.11135857461024501,0.006972690296339336,0.0019619383951343925,0.08108108108108106,0.7854785478547854,0.06302083333333333,0.13422818791946312,0.0028089887640449433,0.6031746031746033,0.40473061760841,0.24367088607594942,0.6367365542388331,0.686182669789227,0.8462738977760436,0.536764705882353,0.1986114554921894,0.26048026042764477
0.17500000000000002,0.5730493630573248,0.47154471544715443,0.9375,0.19964546864613336,0.059881067625501314,0.28070175438596495,0.03966597077244259,0.09615384615384616,0.0021128886205855728,0.0015337423312883436,0.39379974863845835,0.008282476024411508,0.025306548395512656,0.14246823956442828,0.0935412026726058,0.002614758861127251,0.003923876790268785,0.29729729729729726,0.9191419141914192,0.18385416666666665,0.5167785234899328,0.0073033707865168525,0.8013227513227513,0.13140604467805522,0.05063291139240506,0.6173655423883317,0.7058548009367681,0.7818962153726102,0.19117647058823528,0.24324324324324323,0.29263329734470955
0.225,0.8335987261146497,0.6585365853658537,0.5144230769230769,0.30822069576778194,0.32955331212833633,0.24561403508771928,0.17118997912317327,0.050404858299595144,0.03320253546634471,0.0,0.6430666108085463,0.009590235396687009,0.055048265066527526,0.016515426497277674,0.0,0.018012783265543286,0.025309005297233664,0.5675675675675674,0.7838283828382838,0.052083333333333336,0.4966442953020134,0.011423220973782771,0.5830687830687831,0.13797634691195793,0.1139240506329114,0.8154056517775751,1.0,0.7077643386656263,0.5220588235294118,0.25018596578229607,0.33180722969972964
0.275,1.0,0.47154471544715443,0.7355769230769231,0.14912475072014178,0.5202599917023926,0.5438596491228069,0.1638830897703549,0.04777327935222672,0.23437971626924245,0.0007668711656441718,0.7394218684541266,0.030514385353095027,0.020871380120010437,0.006896551724137931,0.0,0.021789657176060427,0.1712772218952325,0.21621621621621617,0.4356435643564357,0.040625,0.4093959731543624,0.010112359550561797,0.9322751322751321,0.030223390275952694,0.21202531645569625,0.8072014585232451,0.5250585480093677,0.6566523605150214,0.5073529411764707,0.15571534837589884,0.32654792200779703
0.32500000000000007,0.7892117834394903,0.6585365853658537,0.48557692307692313,0.11987591402614668,0.9940533812750657,0.7368421052631579,0.46346555323590816,0.10222672064777329,0.2959553274977363,0.0030674846625766876,0.508588186007541,0.03574542284219703,0.010435690060005217,0.011978221415607984,0.03786191536748329,0.024694944799535153,0.1999215224641946,0.21621621621621617,0.20792079207920794,0.17708333333333334,0.7583892617449666,0.03913857677902621,1.0,0.2575558475689882,0.08544303797468357,0.5932087511394712,0.2353629976580796,0.5138509559110418,0.5,0.1299280932308455,0.3397378515027685
0.375,0.5419984076433121,0.21951219512195122,0.07692307692307693,0.18923111012630178,0.9818835569077583,0.8245614035087719,0.4780793319415449,0.2653846153846154,0.4812858436462422,0.002300613496932515,0.8500209467951404,0.11290322580645161,0.05974432559352988,0.0190562613430127,0.1759465478841871,0.03312027890761185,0.3731606827545615,0.10810810810810809,0.20792079207920786,0.16145833333333334,0.40939597315436244,0.14250936329588013,0.8608465608465607,0.19842312746386337,0.11708860759493672,0.8694165907019143,0.43934426229508183,0.43269605930550137,0.5514705882352942,0.22241507562608478,0.3468735288608377
0.42500000000000004,0.3248407643312102,0.2764227642276422,0.2692307692307692,0.21537779747396413,1.0,0.3157894736842105,1.0,0.42975708502024285,0.42816178690009066,0.0,1.0,0.25239755884917175,0.02765457865901383,0.003629764065335753,0.2249443207126949,0.015107495642068562,0.4320188346085933,0.35135135135135126,0.1782178217821782,0.24010416666666667,0.36241610738255037,0.847940074906367,0.40582010582010586,0.01314060446780552,0.1677215189873418,1.0,0.2911007025761123,0.3175965665236052,0.5514705882352943,0.26531118274237536,0.37358412616155867
0.475,0.2991640127388535,0.4552845528455285,0.32211538461538464,0.1305118546421449,0.6820633384040934,0.6666666666666666,0.7588726513569938,0.7751012145748988,0.7265318442499247,0.004601226993865032,0.9748638458315877,0.5806451612903225,0.037307591964518654,0.0034482758620689655,0.20044543429844097,0.02091807088901801,0.8436335099077888,0.6486486486486485,0.5462046204620461,0.6510416666666666,0.21476510067114093,0.7177902621722846,0.8174603174603173,0.20893561103810773,0.10443037974683546,0.9831358249772104,0.31451990632318494,0.2500975419430355,0.8088235294117648,0.3858170096702207,0.4711281685441187
