Membrane_raw,FtsZ_raw,,Membrane_normalized,FtsZ_normalized
568.00000,124.00000,,0.43525,0.08739
734.00000,24.00000,,0.56245,0.01691
611.00000,41.00000,,0.46820,0.02889
537.00000,0.00000,,0.41149,0.00000
572.00000,37.00000,,0.43831,0.02607
592.00000,47.00000,,0.45364,0.03312
545.00000,246.00000,,0.41762,0.17336
603.00000,323.00000,,0.46207,0.22763
617.00000,222.00000,,0.47280,0.15645
682.00000,196.00000,,0.52261,0.13813
650.00000,235.00000,,0.49808,0.16561
618.00000,56.00000,,0.47356,0.03946
610.00000,61.00000,,0.46743,0.04299
624.00000,91.00000,,0.47816,0.06413
659.00000,162.00000,,0.50498,0.11416
596.00000,54.00000,,0.45670,0.03805
656.00000,85.00000,,0.50268,0.05990
681.00000,121.00000,,0.52184,0.08527
729.00000,60.00000,,0.55862,0.04228
581.00000,67.00000,,0.44521,0.04722
473.00000,29.00000,,0.36245,0.02044
