Pre-bleach_raw,Post-bleach_raw,Post-recovery_raw,,Pre-bleach_normalized,Post-bleach_normalized,Post-recovery_normalized
378.00000,97.00000,214.00000,,0.64837,0.22506,0.59777
389.00000,129.00000,189.00000,,0.66724,0.29930,0.52793
445.00000,115.00000,246.00000,,0.76329,0.26682,0.68715
504.00000,139.00000,239.00000,,0.86449,0.32251,0.66760
530.00000,137.00000,218.00000,,0.90909,0.31787,0.60894
502.00000,149.00000,225.00000,,0.86106,0.34571,0.62849
578.00000,133.00000,208.00000,,0.99142,0.30858,0.58101
583.00000,159.00000,174.00000,,1.00000,0.36891,0.48603
507.00000,168.00000,172.00000,,0.86964,0.38979,0.48045
384.00000,132.00000,152.00000,,0.65866,0.30626,0.42458
432.00000,140.00000,120.00000,,0.74099,0.32483,0.33520
397.00000,,,,0.68096,,
349.00000,,,,0.59863,,
270.00000,,,,0.46312,,
