Frame,Time/min,Membrane_Raw_Intensity,mbaojin_Raw_Intensity,Membrane_Normalized_Intensity,mbaojin_Normalized_Intensity
1,0,77.4828349944629,37.434108527131784,1.0,1.0
2,5,0.6813186813186813,0.4967032967032967,0.0,0.0
3,10,2.126829268292683,0.7621951219512195,0.018821380831599666,0.007187614386871295
4,15,0.4945054945054945,0.4703296703296703,0.0,0.0
5,20,2.5084364454443193,0.8987626546681665,0.02379012618287245,0.010884883641844426
6,25,0.35095613048368957,0.8380202474690663,0.0,0.0092404149299745
7,30,2.9977246871444825,0.8816837315130831,0.03016094104680273,0.010422508901427792
8,35,2.8224917309812567,1.061742006615215,0.027879306977903036,0.015297195522723067
9,40,2.2251585623678647,0.9376321353065539,0.020101684903647696,0.011937190386075807
10,45,3.5950590762620838,0.9785177228786252,0.0379385790127262,0.013044078845538853
11,50,2.4012409513960704,0.9048603929679421,0.022394379077943186,0.011049966658957721
12,55,3.660695468914647,1.0547945205479452,0.038793202668656934,0.015109107430884214
