Frame,Time/min,Membrane_Raw_Intensity,mreb_Raw_Intensity,Membrane_Normalized_Intensity,mreb_Normalized_Intensity
1,0,24.775704493526277,39.97067783701447,1.0,1.0
6,5,1.7707539984767708,1.5727341964965726,0.0,0.0
11,10,2.0194211728865192,3.1416603198781416,0.010809289698895884,0.040859639205418866
16,15,2.111534069280548,4.624286258089075,0.014813336411095982,0.07947175739829136
21,20,2.2819634703196345,5.7595129375951295,0.02222171579777458,0.10903653540135483
26,25,2.2805481537875902,7.4685953559193,0.02216019353836572,0.15354627358745732
31,30,2.479634564141606,8.210506280928817,0.030814261731073107,0.17286790528615706
36,35,2.4786747905559787,9.658415841584159,0.03077254142457499,0.210575902730257
41,40,2.6848115721355157,9.532927293490674,0.0397330815319704,0.20730779677988867
46,45,2.6097375427919363,11.120578166603272,0.03646969570726563,0.24865508579036819
51,50,2.874429223744292,9.30593607305936,0.04797555315344078,0.20139625051177573
56,55,2.587966488956588,12.054074638233054,0.03552333184353842,0.272966191623774
