Membrane_raw,FtsZ_raw,,Membrane_normalized,FtsZ_normalized
275.00000,0.00000,,0.33374,0.00000
348.00000,0.00000,,0.42233,0.00000
440.00000,0.00000,,0.53398,0.00000
544.00000,9.00000,,0.66019,0.00947
666.00000,10.00000,,0.80825,0.01053
777.00000,10.00000,,0.94296,0.01053
824.00000,1.00000,,1.00000,0.00105
822.00000,27.00000,,0.99757,0.02842
641.00000,28.00000,,0.77791,0.02947
442.00000,12.00000,,0.53641,0.01263
516.00000,2.00000,,0.62621,0.00211
391.00000,0.00000,,0.47451,0.00000
301.00000,4.00000,,0.36529,0.00421
306.00000,14.00000,,0.37136,0.01474
329.00000,13.00000,,0.39927,0.01368
384.00000,8.00000,,0.46602,0.00842
387.00000,18.00000,,0.46966,0.01895
290.00000,12.00000,,0.35194,0.01263
364.00000,0.00000,,0.44175,0.00000
380.00000,30.00000,,0.46117,0.03158
405.00000,44.00000,,0.49150,0.04632
415.00000,47.00000,,0.50364,0.04947
479.00000,23.00000,,0.58131,0.02421
457.00000,22.00000,,0.55461,0.02316
405.00000,13.00000,,0.49150,0.01368
425.00000,28.00000,,0.51578,0.02947
386.00000,36.00000,,0.46845,0.03789
350.00000,21.00000,,0.42476,0.02211
386.00000,11.00000,,0.46845,0.01158
351.00000,6.00000,,0.42597,0.00632
389.00000,10.00000,,0.47209,0.01053
333.00000,10.00000,,0.40413,0.01053
373.00000,9.00000,,0.45267,0.00947
343.00000,31.00000,,0.41626,0.03263
352.00000,14.00000,,0.42718,0.01474
365.00000,42.00000,,0.44296,0.04421
379.00000,41.00000,,0.45995,0.04316
363.00000,74.00000,,0.44053,0.07789
310.00000,118.00000,,0.37621,0.12421
374.00000,111.00000,,0.45388,0.11684
354.00000,205.00000,,0.42961,0.21579
377.00000,262.00000,,0.45752,0.27579
369.00000,305.00000,,0.44782,0.32105
400.00000,476.00000,,0.48544,0.50105
381.00000,464.00000,,0.46238,0.48842
409.00000,590.00000,,0.49636,0.62105
387.00000,616.00000,,0.46966,0.64842
386.00000,586.00000,,0.46845,0.61684
372.00000,558.00000,,0.45146,0.58737
346.00000,463.00000,,0.41990,0.48737
412.00000,485.00000,,0.50000,0.51053
366.00000,460.00000,,0.44417,0.48421
377.00000,450.00000,,0.45752,0.47368
364.00000,409.00000,,0.44175,0.43053
308.00000,489.00000,,0.37379,0.51474
324.00000,560.00000,,0.39320,0.58947
292.00000,511.00000,,0.35437,0.53789
294.00000,493.00000,,0.35680,0.51895
312.00000,654.00000,,0.37864,0.68842
348.00000,703.00000,,0.42233,0.74000
349.00000,769.00000,,0.42354,0.80947
390.00000,840.00000,,0.47330,0.88421
426.00000,950.00000,,0.51699,1.00000
317.00000,760.00000,,0.38471,0.80000
377.00000,886.00000,,0.45752,0.93263
334.00000,759.00000,,0.40534,0.79895
319.00000,721.00000,,0.38714,0.75895
307.00000,564.00000,,0.37257,0.59368
337.00000,486.00000,,0.40898,0.51158
318.00000,568.00000,,0.38592,0.59789
361.00000,685.00000,,0.43811,0.72105
288.00000,654.00000,,0.34951,0.68842
338.00000,690.00000,,0.41019,0.72632
320.00000,549.00000,,0.38835,0.57789
287.00000,341.00000,,0.34830,0.35895
337.00000,378.00000,,0.40898,0.39789
325.00000,293.00000,,0.39442,0.30842
347.00000,341.00000,,0.42112,0.35895
339.00000,380.00000,,0.41141,0.40000
308.00000,328.00000,,0.37379,0.34526
322.00000,237.00000,,0.39078,0.24947
284.00000,149.00000,,0.34466,0.15684
305.00000,146.00000,,0.37015,0.15368
411.00000,122.00000,,0.49879,0.12842
366.00000,65.00000,,0.44417,0.06842
382.00000,52.00000,,0.46359,0.05474
463.00000,44.00000,,0.56189,0.04632
448.00000,32.00000,,0.54369,0.03368
425.00000,40.00000,,0.51578,0.04211
456.00000,17.00000,,0.55340,0.01789
336.00000,52.00000,,0.40777,0.05474
318.00000,20.00000,,0.38592,0.02105
460.00000,91.00000,,0.55825,0.09579
355.00000,179.00000,,0.43083,0.18842
416.00000,205.00000,,0.50485,0.21579
426.00000,184.00000,,0.51699,0.19368
503.00000,119.00000,,0.61044,0.12526
530.00000,73.00000,,0.64320,0.07684
