Time/min,Membrane_Mean,Membrane_SEM,mreb_Mean,mreb_SEM,N
0.0,1.0,0.0,1.0,0.0,3
5.0,0.0,0.0,0.0,0.0,3
10.0,0.007777276273189045,0.002700119626226679,0.051629782352152716,0.007689204802487141,3
15.0,0.009844760801787618,0.0026510878531275568,0.07933692703950355,0.0036686255729699154,3
20.0,0.008454933431427608,0.006886419974064279,0.11416882342691792,0.00665353292923973,3
25.0,0.014090532320249706,0.004543241737751779,0.125605058380445,0.02456157559687258,3
30.0,0.019053265753147277,0.0071207313021053415,0.15260890576436173,0.011187417800072078,3
35.0,0.015771738833386912,0.007899606823213867,0.18524245117804514,0.021789019758955912,3
40.0,0.026696088704032835,0.0065374605355467035,0.17731711548122941,0.01799445703798773,3
45.0,0.014907489676248761,0.011041189754233176,0.22446642958790788,0.03898661358004084,3
50.0,0.02332362773887511,0.012332158460491984,0.1961696714779583,0.0369465050279961,3
55.0,0.022665418888141418,0.007376071451841587,0.23105516175671872,0.044504089282193175,3
